city,shift_preference,avg_hours_per_day,avg_earnings_per_hour,experience_months,rating,daily_productivity,avg_combined_score,avg_motion_score,avg_audio_score,total_flags,risk_score,risk_label,source
Hyderabad,afternoon,6.1,202,41,4.8,1232.1999999999998,0.0,0.0,0.0,0.0,0.0,LOW,original
Delhi,morning,7.3,170,18,4.5,1241.0,0.6699999999999999,0.495,0.845,2.0,27.6,HIGH,original
Kolkata,evening,8.3,195,45,4.5,1618.5000000000002,0.5449999999999999,0.6950000000000001,0.4,2.0,22.6,MEDIUM,original
Bangalore,morning,7.9,205,45,4.6,1619.5,0.79,0.75,0.83,1.0,32.0,HIGH,original
Pune,afternoon,7.6,195,44,4.4,1482.0,0.6733333333333333,0.7466666666666667,0.6033333333333334,3.0,28.133333333333333,HIGH,original
Kolkata,morning,8.0,202,26,4.6,1616.0,0.0,0.0,0.0,0.0,0.0,LOW,original
Hyderabad,evening,8.4,194,44,4.7,1629.6,0.73,0.91,0.55,1.0,29.6,HIGH,original
Chennai,full_day,8.4,171,38,4.5,1436.4,0.33,0.43,0.23,1.0,13.6,MEDIUM,original
Kolkata,afternoon,8.4,184,28,4.6,1545.6,0.0,0.0,0.0,0.0,0.0,LOW,original
Mumbai,evening,6.9,175,33,4.8,1207.5,0.0,0.0,0.0,0.0,0.0,LOW,original
Bangalore,afternoon,7.7,192,21,4.9,1478.4,0.0,0.0,0.0,0.0,0.0,LOW,original
Delhi,afternoon,7.7,182,23,4.8,1401.4,0.32,0.36,0.29,1.0,13.2,MEDIUM,original
Pune,afternoon,6.7,185,47,4.6,1239.5,0.0,0.0,0.0,0.0,0.0,LOW,original
Bangalore,morning,8.4,201,47,4.4,1688.4,0.78,0.81,0.74,1.0,31.6,HIGH,original
Mumbai,full_day,7.3,190,39,4.9,1387.0,0.5614285714285715,0.5842857142857143,0.5428571428571428,7.0,25.25714285714286,HIGH,original
Hyderabad,full_day,6.6,202,25,4.6,1333.1999999999998,0.0,0.0,0.0,0.0,0.0,LOW,original
Delhi,morning,7.8,197,38,5.0,1536.6,0.0,0.0,0.0,0.0,0.0,LOW,original
Chennai,full_day,9.0,181,37,5.0,1629.0,0.0,0.0,0.0,0.0,0.0,LOW,original
Ahmedabad,evening,8.4,170,21,4.6,1428.0,0.5766666666666667,0.6133333333333333,0.54,3.0,24.266666666666666,MEDIUM,original
Chennai,evening,8.1,186,19,4.7,1506.6,0.73,0.77,0.7,1.0,29.6,HIGH,original
Hyderabad,full_day,9.4,191,31,4.5,1795.4,0.0,0.0,0.0,0.0,0.0,LOW,original
Pune,full_day,8.5,193,31,4.9,1640.5,0.0,0.0,0.0,0.0,0.0,LOW,original
Ahmedabad,afternoon,8.0,184,14,4.8,1472.0,0.0,0.0,0.0,0.0,0.0,LOW,original
Kolkata,full_day,6.7,179,38,4.9,1199.3,0.0,0.0,0.0,0.0,0.0,LOW,original
Kolkata,full_day,6.5,203,42,4.8,1319.5,0.0,0.0,0.0,0.0,0.0,LOW,original
Hyderabad,evening,8.0,173,33,4.5,1384.0,0.6516666666666667,0.6216666666666667,0.6816666666666666,6.0,28.46666666666667,HIGH,original
Mumbai,afternoon,8.8,200,48,4.5,1760.0000000000002,0.0,0.0,0.0,0.0,0.0,LOW,original
Hyderabad,evening,7.3,205,24,4.6,1496.5,0.0,0.0,0.0,0.0,0.0,LOW,original
Bangalore,evening,9.0,182,44,4.7,1638.0,0.0,0.0,0.0,0.0,0.0,LOW,original
Delhi,evening,7.2,202,39,4.9,1454.4,0.0,0.0,0.0,0.0,0.0,LOW,original
Bangalore,full_day,8.1,199,48,5.0,1611.9,0.0,0.0,0.0,0.0,0.0,LOW,original
Chennai,full_day,8.2,195,12,4.4,1598.9999999999998,0.585,0.78,0.4,2.0,24.2,MEDIUM,original
Pune,evening,7.1,188,25,4.8,1334.8,0.0,0.0,0.0,0.0,0.0,LOW,original
Hyderabad,full_day,8.7,193,45,4.7,1679.1,0.0,0.0,0.0,0.0,0.0,LOW,original
Kolkata,afternoon,6.6,171,16,4.8,1128.6,0.55,0.46,0.63,1.0,22.4,MEDIUM,original
Bangalore,afternoon,6.6,176,14,4.4,1161.6,0.0,0.0,0.0,0.0,0.0,LOW,original
Mumbai,morning,8.7,203,13,4.5,1766.1,0.0,0.0,0.0,0.0,0.0,LOW,original
Delhi,morning,8.3,194,27,4.5,1610.2,0.38,0.37,0.38,1.0,15.6,MEDIUM,original
Ahmedabad,afternoon,6.5,180,9,4.4,1170.0,0.5099999999999999,0.5299999999999999,0.4933333333333333,3.0,21.599999999999994,MEDIUM,original
Chennai,full_day,7.6,204,25,4.7,1550.4,0.0,0.0,0.0,0.0,0.0,LOW,original
Delhi,full_day,8.2,197,41,4.8,1615.4,0.52,0.66,0.3799999999999999,3.0,22.0,MEDIUM,original
Hyderabad,evening,7.7,184,13,4.7,1416.8,0.69,0.9,0.48,1.0,28.0,HIGH,original
Kolkata,evening,6.5,170,8,4.7,1105.0,0.67,0.62,0.72,1.0,27.2,HIGH,original
Chennai,evening,7.6,170,39,5.0,1292.0,0.0,0.0,0.0,0.0,0.0,LOW,original
Hyderabad,morning,8.7,188,46,4.5,1635.6,0.0,0.0,0.0,0.0,0.0,LOW,original
Chennai,afternoon,7.4,205,35,4.6,1517.0,0.0,0.0,0.0,0.0,0.0,LOW,original
Kolkata,full_day,6.8,175,35,4.8,1190.0,0.0,0.0,0.0,0.0,0.0,LOW,original
Hyderabad,evening,8.3,204,25,4.6,1693.2,0.0,0.0,0.0,0.0,0.0,LOW,original
Delhi,afternoon,7.0,199,47,4.7,1393.0,0.0,0.0,0.0,0.0,0.0,LOW,original
Ahmedabad,afternoon,7.1,179,11,5.0,1270.9,0.0,0.0,0.0,0.0,0.0,LOW,original
Delhi,morning,7.0,178,36,4.8,1246.0,0.0,0.0,0.0,0.0,0.0,LOW,original
Bangalore,afternoon,6.1,183,29,4.7,1116.3,0.51,0.45,0.56,1.0,20.8,MEDIUM,original
Chennai,full_day,8.4,172,29,4.4,1444.8,0.762,0.744,0.776,5.0,32.480000000000004,HIGH,original
Mumbai,evening,8.7,174,42,4.7,1513.8,0.79,0.9,0.68,1.0,32.0,HIGH,original
Hyderabad,full_day,8.9,177,23,4.6,1575.3,0.55,0.8049999999999999,0.29,2.0,22.8,MEDIUM,original
Pune,morning,6.7,176,41,4.8,1179.2,0.53,0.58,0.48,1.0,21.6,MEDIUM,original
Ahmedabad,full_day,8.4,189,28,4.5,1587.6,0.0,0.0,0.0,0.0,0.0,LOW,original
Bangalore,evening,7.7,189,20,4.6,1455.3,0.0,0.0,0.0,0.0,0.0,LOW,original
Pune,morning,6.8,197,28,4.4,1339.6,0.62,0.6699999999999999,0.5650000000000001,2.0,25.6,HIGH,original
Bangalore,full_day,8.8,170,10,4.7,1496.0000000000002,0.0,0.0,0.0,0.0,0.0,LOW,original
Delhi,evening,8.7,185,18,4.7,1609.4999999999998,0.58,0.89,0.28,1.0,23.6,MEDIUM,original
Chennai,morning,6.2,179,42,4.9,1109.8,0.0,0.0,0.0,0.0,0.0,LOW,original
Ahmedabad,afternoon,7.1,205,30,4.9,1455.5,0.0,0.0,0.0,0.0,0.0,LOW,original
Pune,morning,8.4,192,16,4.6,1612.8000000000002,0.91,0.91,0.91,1.0,36.8,HIGH,original
Ahmedabad,full_day,8.0,204,39,4.5,1632.0,0.64,0.35,0.92,1.0,26.0,HIGH,original
Chennai,evening,8.6,187,46,4.9,1608.2,0.0,0.0,0.0,0.0,0.0,LOW,original
Delhi,morning,7.9,198,26,4.9,1564.2,0.0,0.0,0.0,0.0,0.0,LOW,original
Chennai,full_day,6.0,202,32,4.8,1212.0,0.7,0.47,0.92,1.0,28.4,HIGH,original
Chennai,afternoon,7.1,174,42,4.9,1235.4,0.63,0.5625,0.7025,4.0,26.8,HIGH,original
Ahmedabad,afternoon,8.1,190,34,4.8,1539.0,0.0,0.0,0.0,0.0,0.0,LOW,original
Bangalore,morning,6.2,178,19,4.9,1103.6,0.0,0.0,0.0,0.0,0.0,LOW,original
Bangalore,full_day,6.7,172,44,4.8,1152.4,0.0,0.0,0.0,0.0,0.0,LOW,original
Ahmedabad,evening,6.2,184,46,4.8,1140.8,0.0,0.0,0.0,0.0,0.0,LOW,original
Pune,full_day,9.2,175,37,4.9,1609.9999999999998,0.0,0.0,0.0,0.0,0.0,LOW,original
Chennai,full_day,8.9,173,47,4.6,1539.7,0.0,0.0,0.0,0.0,0.0,LOW,original
Bangalore,evening,6.3,183,41,4.5,1152.9,0.69,0.9,0.47,1.0,28.0,HIGH,original
Kolkata,afternoon,6.7,185,44,4.8,1239.5,0.84,0.825,0.855,2.0,34.4,HIGH,original
Kolkata,morning,8.7,192,37,4.8,1670.4,0.4966666666666666,0.4766666666666666,0.5266666666666667,3.0,21.066666666666663,MEDIUM,original
Bangalore,afternoon,8.8,205,33,4.7,1804.0,0.0,0.0,0.0,0.0,0.0,LOW,original
Ahmedabad,evening,9.2,205,28,4.9,1886.0,0.5,0.62,0.3833333333333333,3.0,21.2,MEDIUM,original
Kolkata,evening,8.1,204,21,4.6,1652.4,0.0,0.0,0.0,0.0,0.0,LOW,original
Hyderabad,evening,9.4,198,33,4.4,1861.2,0.0,0.0,0.0,0.0,0.0,LOW,original
Hyderabad,morning,7.8,189,8,4.6,1474.2,0.6433333333333333,0.8466666666666667,0.4433333333333333,3.0,26.933333333333334,HIGH,original
Pune,evening,6.1,187,43,4.7,1140.7,0.0,0.0,0.0,0.0,0.0,LOW,original
Delhi,morning,6.1,192,17,4.5,1171.1999999999998,0.81,0.88,0.75,1.0,32.800000000000004,HIGH,original
Pune,afternoon,6.9,189,13,4.7,1304.1,0.79,0.845,0.74,2.0,32.4,HIGH,original
Pune,morning,8.5,200,19,4.7,1700.0,0.54,0.72,0.37,1.0,22.0,MEDIUM,original
Bangalore,evening,6.1,194,13,4.9,1183.4,0.0,0.0,0.0,0.0,0.0,LOW,original
Chennai,full_day,7.5,177,22,4.8,1327.5,0.0,0.0,0.0,0.0,0.0,LOW,original
Mumbai,full_day,6.2,203,10,4.6,1258.6,0.41,0.46,0.35,1.0,16.799999999999997,MEDIUM,original
Delhi,evening,7.8,184,17,4.4,1435.2,0.575,0.5549999999999999,0.6,2.0,23.8,MEDIUM,original
Ahmedabad,morning,6.8,188,33,4.5,1278.4,0.0,0.0,0.0,0.0,0.0,LOW,original
Bangalore,full_day,8.0,173,43,4.6,1384.0,0.595,0.7,0.49,2.0,24.6,MEDIUM,original
Kolkata,full_day,8.7,178,16,4.7,1548.6,0.0,0.0,0.0,0.0,0.0,LOW,original
Ahmedabad,full_day,8.3,182,43,4.8,1510.6,0.0,0.0,0.0,0.0,0.0,LOW,original
Pune,afternoon,6.3,197,28,4.8,1241.1,0.6642857142857144,0.6657142857142857,0.6642857142857144,7.0,29.371428571428577,HIGH,original
Bangalore,morning,8.4,197,31,4.6,1654.8000000000002,0.63,0.6616666666666666,0.6016666666666667,6.0,27.6,HIGH,original
Chennai,morning,8.7,180,30,4.8,1565.9999999999998,0.0,0.0,0.0,0.0,0.0,LOW,original
Delhi,full_day,6.2,184,20,4.8,1140.8,0.57,0.84,0.3,1.0,23.2,MEDIUM,original
Bangalore,morning,8.6,185,47,5.0,1591.0,0.71,0.59,0.84,1.0,28.8,HIGH,original
Mumbai,evening,8.4,177,27,4.7,1486.8,0.62,0.69,0.55,2.0,25.6,HIGH,original
Chennai,afternoon,8.6,183,21,4.7,1573.8,0.64,0.93,0.35,1.0,26.0,HIGH,original
Ahmedabad,afternoon,8.4,171,32,4.7,1436.4,0.7,0.94,0.46,1.0,28.4,HIGH,original
Mumbai,evening,6.6,188,20,4.9,1240.8,0.0,0.0,0.0,0.0,0.0,LOW,original
Hyderabad,morning,7.6,170,12,4.6,1292.0,0.0,0.0,0.0,0.0,0.0,LOW,original
Chennai,morning,6.1,194,22,5.0,1183.4,0.61,0.642,0.5780000000000001,5.0,26.4,HIGH,original
Bangalore,evening,7.7,204,13,4.5,1570.8,0.0,0.0,0.0,0.0,0.0,LOW,original
Ahmedabad,morning,6.1,203,27,4.6,1238.3,0.0,0.0,0.0,0.0,0.0,LOW,original
Delhi,morning,7.2,192,30,4.8,1382.4,0.0,0.0,0.0,0.0,0.0,LOW,original
Hyderabad,morning,8.2,194,9,5.0,1590.8,0.455,0.535,0.37,2.0,19.0,MEDIUM,original
Pune,afternoon,7.2,195,16,4.5,1404.0,0.91,0.88,0.94,1.0,36.8,HIGH,original
Pune,full_day,6.8,179,35,5.0,1217.2,0.0,0.0,0.0,0.0,0.0,LOW,original
Chennai,full_day,7.9,183,16,4.7,1445.7,0.624,0.562,0.682,5.0,26.96,HIGH,original
Delhi,evening,8.4,203,16,4.7,1705.2,0.49,0.66,0.33,1.0,20.0,MEDIUM,original
Delhi,evening,6.2,204,15,4.5,1264.8,0.5449999999999999,0.485,0.6,2.0,22.6,MEDIUM,original
Mumbai,evening,9.1,196,34,4.6,1783.6,0.0,0.0,0.0,0.0,0.0,LOW,original
Delhi,afternoon,6.4,181,9,4.9,1158.4,0.0,0.0,0.0,0.0,0.0,LOW,original
Hyderabad,afternoon,8.1,184,9,4.6,1490.4,0.55,0.73,0.37,1.0,22.4,MEDIUM,original
Ahmedabad,evening,6.0,180,26,4.8,1071.761190646505,0.766789852963899,0.6201139644338095,0.3903112576485832,6.0,22.365879155840144,MEDIUM,synthetic
Kolkata,morning,9.5,170,18,5.0,1618.5681436106865,0.22165397433697437,0.6075710772004385,0.7251812167432886,1.0,0.0,LOW,synthetic
Bangalore,morning,8.6,205,42,4.4,1056.4620917150062,0.05779603325610899,0.0,0.0,0.0,0.3322409132507609,LOW,synthetic
Bangalore,morning,7.1,170,36,4.9,1115.1109355238243,0.0,0.009377050409902016,0.0,0.0,0.6168484258167856,LOW,synthetic
Bangalore,morning,7.4,181,15,4.8,1163.9662555093619,0.7767847394686049,0.8434678731367214,0.43761638550913995,5.0,26.725524697107303,MEDIUM,synthetic
Ahmedabad,evening,7.0,180,33,5.0,1640.3608171207995,0.5936157142626232,0.7850779991213391,0.2659697320644458,2.0,1.7081402224456905,LOW,synthetic
Pune,evening,6.0,182,19,4.7,1690.1726024847128,0.6320918646381372,0.7466887270922633,0.3972876928120123,1.0,9.678975579850439,LOW,synthetic
Chennai,full_day,6.0,170,20,4.8,1412.11386015421,0.8101566958524794,0.0,0.044181110895398515,0.0,0.0,LOW,synthetic
Pune,full_day,7.0,182,48,4.7,1227.2482439024316,0.13176919299180972,0.0,0.0,0.0,0.0,LOW,synthetic
Kolkata,evening,8.8,170,24,4.4,1186.972801750712,0.8023384795057197,0.657165830168261,0.41328353447838595,1.0,22.374385589642667,MEDIUM,synthetic
Ahmedabad,evening,9.5,170,42,4.6,1168.996209059212,0.91,0.0,0.0004087567430937078,4.0,22.24490078238365,MEDIUM,synthetic
Kolkata,afternoon,6.1,178,36,4.8,1475.991882219335,0.8455477000269144,0.36734064509737246,0.3021718611441599,1.0,36.8,HIGH,synthetic
Mumbai,afternoon,7.3,197,29,4.6,1106.9573731047572,0.12813752345798618,0.0,0.0,0.0,2.2667462765941706,LOW,synthetic
Ahmedabad,evening,6.0,192,37,4.6,1886.0,0.9005216189706815,0.94,0.29046519669722853,5.0,36.8,HIGH,synthetic
Pune,afternoon,6.0,170,30,5.0,1605.3095470215615,0.91,0.07605645893185525,0.8858853100468315,0.0,0.0,LOW,synthetic
Mumbai,afternoon,9.0,188,48,4.7,1469.0655405179289,0.04856637089855357,0.0,0.017936995735945833,0.0,0.0,LOW,synthetic
Ahmedabad,full_day,7.1,173,47,4.8,1450.5658384156816,0.91,0.94,0.35332444327619394,0.0,28.806697867232465,MEDIUM,synthetic
Pune,evening,8.1,170,36,4.9,1737.1511431726108,0.5430488357494744,0.94,0.3119252146392796,7.0,29.841041484834612,MEDIUM,synthetic
Ahmedabad,afternoon,6.0,170,36,4.5,1220.274166135707,0.4964994030476442,0.4441071225434359,0.5751256203544493,0.0,5.456152336553263,LOW,synthetic
Pune,evening,7.9,199,28,4.9,1300.3077146387482,0.0,0.13169348544076798,0.0,0.0,0.0,LOW,synthetic
Pune,morning,8.4,180,48,4.9,1403.984668388972,0.06279990360456468,0.0042492553898488645,0.05357967951054616,0.0,0.0,LOW,synthetic
Hyderabad,morning,9.0,170,23,4.4,1055.0088453032904,0.91,0.904204000760947,0.29888909634802696,2.0,35.795474947276915,HIGH,synthetic
Pune,evening,7.4,173,44,4.7,1689.3616438987156,0.452290637248854,0.6041246641870663,0.0,0.0,0.0,LOW,synthetic
Mumbai,morning,8.9,171,32,4.6,1394.4968711436115,0.0,0.06768955975835134,0.048914532262742345,0.0,1.7062180341799549,LOW,synthetic
Hyderabad,evening,6.9,178,34,5.0,1659.943136143067,0.880050607227405,0.4721793738795338,0.4664533671266707,2.0,20.744013385121185,MEDIUM,synthetic
Bangalore,morning,7.9,180,24,4.8,1632.4252992841746,0.0,0.0,0.0,0.0,0.0,LOW,synthetic
Bangalore,morning,7.4,170,28,4.8,1370.9626565580168,0.8719886034556441,0.670481530861869,0.30327418832448166,2.0,31.851997781726034,HIGH,synthetic
Kolkata,full_day,9.5,170,48,4.6,1443.8427625407478,0.029776751607254986,0.10049532090728602,0.026513001110798035,2.0,3.685506356653355,LOW,synthetic
Pune,full_day,6.3,203,39,4.8,1204.7259109199344,0.07884768782630273,0.02518429219462268,0.023558025633673187,0.0,0.0,LOW,synthetic
